Uuid__c,Status_desq__c,Remarks__c
17651057-7e15-5df7-a6a5-aecf09fde0d5,In-active,
ec625a05-d680-5306-8ede-a96d95758522,In-active,LP 16/5/18 Wordt uitgezocht bij Yvonne of dit product ook onder het nieuwe contract valt
8e6a4723-7a48-5255-8220-a1b11205fc62,In-active,
567492e0-2142-5b17-8020-4c2d1f92b83d,In-active,1-1-2018 LP Opschoningsactie
b31bd903-bef3-5b17-a65b-31cb753846d2,In-active,Staat op blacklisted maar lijkt wel interessant
850a0feb-dd2c-561e-8dc7-7b7288705e10,In-active,Gratis plaatsen t/m 31-11-2016 (Excl. â‚¬30 voor 'topvacature')
293f27a0-3649-5af8-bca6-98169fc631fc,In-active,LP 18/7 Site gaat permanent offline
065280cc-c80d-5a39-9e74-470bc5bca00a,In-active,
02316c08-7a42-522d-bded-9fd7098dca34,In-active,
b3b4036b-844d-50ea-acbd-e585cf1f843b,In-active,
d0c4aac7-a518-5337-a312-16e0d83634fe,In-active,18/6/18 RvR: op verzoek van Suzanne Stil (26/6 LP product heeft tegenvallende resultaten)
6a140b52-48c5-5c24-9f8e-e683d56de17b,In-active,"LP 08012019 Overgang naar nieuwe site Carriere.nu gaat niet goed, totdat alle problemen zijn opgelost zijn alle websites van Vakmedianet BL"
19816462-996e-5314-ae65-019808e66d3c,In-active,"LP 08012019 Overgang naar nieuwe site Carriere.nu gaat niet goed, totdat alle problemen zijn opgelost zijn alle websites van Vakmedianet BL"
2435ccea-cc46-59f4-a4fc-ff1b53ade209,In-active,LP 12122018 Site ziet er niet uit en is helemaal niet verkocht in 2018
bfde8130-1252-5b5e-b688-536670d19bd0,In-active,"16-11-2018 RVR: In samenspraak met OPS loopt het plaatsen nog steeds niet goed en de communicatie ook. Geen stabiel produkt, dus we zetten het vanaf vandaag uit."
db47f36e-2367-5a1b-926f-273d2a9955ad,In-active,"16-11-2018 RVR: In samenspraak met OPS loopt het plaatsen nog steeds niet goed en de communicatie ook. Geen stabiel produkt, dus we zetten het vanaf vandaag uit."
3cd1eb16-3955-5a9f-8356-949f4d1be4ef,In-active,"16-11-2018 RVR: In samenspraak met OPS loopt het plaatsen nog steeds niet goed en de communicatie ook. Geen stabiel produkt, dus we zetten het vanaf vandaag uit."
e805f613-1d96-5d6f-be15-65c549b8bece,In-active,
c649276f-acab-559c-b115-075d593de922,In-active,"16-11-2018 RVR: In samenspraak met OPS loopt het plaatsen nog steeds niet goed en de communicatie ook. Geen stabiel produkt, dus we zetten het vanaf vandaag uit."
3e9b0e20-903c-5fac-8acc-6017ac6ce200,In-active,"16-11-2018 RVR: In samenspraak met OPS loopt het plaatsen nog steeds niet goed en de communicatie ook. Geen stabiel produkt, dus we zetten het vanaf vandaag uit."
ae5be447-2c56-54e6-8eba-02137d010167,In-active,"16-11-2018 RVR: In samenspraak met OPS loopt het plaatsen nog steeds niet goed en de communicatie ook. Geen stabiel produkt, dus we zetten het vanaf vandaag uit."
24dc72fb-5936-5080-b2c0-1ae09e3c0ef1,In-active,"16-11-2018 RVR: In samenspraak met OPS loopt het plaatsen nog steeds niet goed en de communicatie ook. Geen stabiel produkt, dus we zetten het vanaf vandaag uit."
9da02ee7-2b1b-5128-b6a0-bcea2631d429,In-active,LP 9/8 Wordt doorgeplaatst vanuit MedischeBanenbank
d04960bf-decd-5025-9ef5-f8631cdfd8b2,In-active,
b5052cdc-5172-5cdb-9f3a-ec704b2ed798,In-active,LP 18/5/2018 Is alleen nog een doorplaatsing vanuit Totaljobs
7be1c434-cb01-5039-887d-760df2dc08d7,In-active,15-12-2017 RN: Na meer dan 10 pogingen geen mutual beneficial partnership
ee469577-b6bd-5fd1-a005-c5e771567dd0,In-active,
bdeea106-87a2-580d-8c1b-f05b2acd8377,In-active,15-12-2017 RN: Na meer dan 10 pogingen geen mutual beneficial partnership
062cb655-b1c5-5f45-9dc9-ce4de1141cf5,In-active,
b2b09cd4-1140-5407-97ea-a33d20d5513d,In-active,LP dit product is opgesplitst in 11 nieuwe producten
b0eaf1d2-4a7a-5729-b299-70e0aaaabb0f,In-active,
58648ceb-f962-57fc-aa89-36f85fe45e8b,In-active,25042019 RvR: Leverancier meldt dat zij nu software aanbieden en geen produkten.
7ea4b9de-7c95-520e-a416-ffec66f27e67,In-active,
6a8d8d59-e563-5cac-a3e8-bb5721676f68,In-active,
d8ede7bd-6c66-5a4e-bfdf-3eb2605710d5,In-active,"LP 20032019 We kunnen hier niet onder naam en logo van de klant plaatsen, SmartRecruiters is hiervan op de hoogte"
8bde9687-c8d1-5378-b15b-e51e4bdf27b7,In-active,JDK: Feb 23 2021: JobTeaser can't facilitate partnership due to budget cuts. Check in Q4 2021 again.
183e03be-66fe-514d-839a-8a06e2f990f3,In-active,
1e9bf5dc-544a-5c9a-925b-62f3f12a6565,In-active,
8ddb34a6-b8e2-5ff1-9b5a-62c4ccb1a848,In-active,
a7a6a528-8a84-5bae-9906-bc890c302f52,In-active,LP 17042019 Dubbel product (946 Gastrojobs)
8b876fa5-17e5-5a98-bb9b-ae78c99bdda1,In-active,
3fd33633-45e4-5729-a9bb-7414fa926ed1,In-active,"RN 13-9-2017: Is opgeheven, is nu CampaignLive 352"
d74ebc44-feeb-55a1-ae9a-975d6a32cc82,In-active,LT 29-08-2019: Replaced by product 3391
b8e775ca-b2cf-58b0-8046-acc373cc73a2,In-active,15-1-2018 RN: Is overgenomen door Vastgoedjournaal.nl (nu alleen doorplaatsing)
5fb7e0ef-b8aa-52ab-83f7-a1f8c0be028e,In-active,"LP 02082018 De site gaat per 31/8/2018 uit de lucht, plaatsen niet meer per 02082018 daar de vacature niet langer de volledige looptijd heeft."
4f0c374b-42d1-588a-8fbd-5deea83ababd,In-active,
5a000ddc-3358-56d8-b9dc-1826ea79129d,In-active,
b4347597-4c09-5862-aa78-92b31bf864e6,In-active,LP 31012019 Producten bestaan niet langer bij stackoverflow
6c79338c-08e0-5848-90fe-5443219bfc33,In-active,LP 1-5-2018 Contract verlopen Remy gaat gesprek met CB hierover aan
c236a7df-7ff3-52b9-8063-2af35fa31f74,In-active,LP 20022019 The network werkt niet langer samen met dit kanaal
b00a1b1e-4d38-5185-8824-6bfb8d3a3ece,In-active,16-1-2018 RN: Is doorplaatsing van landensite
55b81d55-d730-5816-9b74-8e0d1f218e66,In-active,16-1-2018 RN: Is doorplaatsing van landensite
1b468c14-d8fb-5d2d-bd74-bbcc7587cca4,In-active,16-1-2018 RN: Is doorplaatsing van landensite
de3b2f38-2474-54b9-83b9-e8021d7e2637,In-active,16-1-2018 RN: Is doorplaatsing van landensite
af20f72b-10a3-54fe-8a95-de152299611a,In-active,16-1-2018 RN: Is doorplaatsing van landensite
8ff86949-20b4-538c-97fb-d1578ce0dcd6,In-active,16-1-2018 RN: Is doorplaatsing van landensite
1cff8773-c94c-5a74-b740-f4c220068df6,In-active,16-1-2018 RN: Is doorplaatsing van landensite
7aacc5b6-feda-5d32-9e91-bcf3dd22ba00,In-active,29052020 LT: Site bestaat niet meer
0c1849a9-f3d2-5735-a81c-6ba821e6e552,In-active,
15e57db5-2de3-58c6-aaa2-cf6207763ce4,In-active,
0922679e-21b0-536e-a916-a9874b0e2389,In-active,
c86fd583-a732-5a7c-b47d-7d7e8d443d88,In-active,"1000 GBP inkoop (-10% korting) RN 29-8-2017: Site has to be pre-paid, Vonq does not work in this way."
f8793f7f-1a11-5a9e-b3a0-2d93b22ae032,In-active,"16-1-2018 RN: Was een test, geen nieuwe afspraken"
b33be11e-3ac5-5a06-b958-31ec3bdf6ad5,In-active,"LP 04012019 Let op! Deze site zal per 31012019 uit de lucht gaan, zie mail label Jobs in Risk"
9f3f8bbe-b9b1-57da-81e7-8eb68ded00ec,In-active,
2822d360-5127-520b-b854-ca2e5e48ffd9,In-active,16-1-2018 RN: dit is alleen nog maar een doorplaatsing van jobtec
d821a729-5ba5-5490-814b-11158e9f4e94,In-active,17-1-2018 RN: Gaat niet meer via techniekjobboard
2a4bad13-c34d-5ca6-829b-0ddc486ccb6c,In-active,
69e709ff-071e-5525-936f-96ac6a5a56b4,In-active,"RVR 03/10/2018: Blacklist omdat Online zetten duurt een week, er moet vooraf betalld worden maar vooral gaat de communicatie lastig. -- LP 13072018: RC USD 200 / VONQ 200-15= USD 170"
ec7cdffc-c36d-501c-a518-ffe24b9c31dd,In-active,"17/7/2018 RVR: Het is niet mogelijk om alleen op deze site te plaatsen, het is een verzamelbank van alle andere mySciences"
bc3d38fa-4502-52ef-a9b6-121e61980649,In-active,
35a5d514-7671-5d3c-bb3d-a6c4a86f7e25,In-active,"2019/01/11 RVR: Er moet vooraf betaald worden, als de betaling binen is word de job live gezet. Daarom helaas op blacklist."
f363b941-8488-51da-bcbe-e671f0e734e2,In-active,"LP 1/8/17 credits zijn verlopen, groot verlies voor VONQ, daardoor partnership niet verlengd"
1d75ab1e-78a4-5ec6-8080-296d8c1e5e4e,In-active,LP 05122018 wordt niet langer aangeboden
39a69c27-9f5d-594c-ae5e-f6bead41a2bc,In-active,LP 22032019 Site bestaat niet langer sinds 14032019
e16b5e47-515c-5ccf-9dab-6311569c52f8,In-active,LP 24122018 NIET langer in het aanbod van The Network
1b0e8d32-9084-5806-a9e0-0dbe7ee9ef53,In-active,16-1-2018 RN: gaan niet meer via techniekjobboard
f2865916-1331-5de2-aa13-a69f532e7ca6,In-active,
80a3e1a6-fbc9-553a-9c0d-4caa2d8875c3,In-active,
e08b12c5-68a7-5b48-81b6-ab1849da2190,In-active,
f4d92394-29f0-5895-a51b-32aad96eb35c,In-active,
0598b56f-48f0-503e-8faa-ddb88d702d3b,In-active,LP 7/8 Is niet mogelijk om via URL te solliciteren via de URL
e78932d5-2311-552a-89a5-19a50765dd1b,In-active,
bfb921a1-d5fe-57ac-b26e-3a10ec106619,In-active,
7bc29328-3edb-5a2a-afd3-27d237aa39e7,In-active,LP 1/2 Site no longer has a recruitment offering
0615151d-57b8-55a8-962e-94b047a4c666,In-active,
c1aceea6-7021-5e6b-af46-6841767dd155,In-active,
c6cb6a03-a278-5976-bc76-cf67ebe5c892,In-active,
b8ae90dc-9b79-5f02-8c36-47573a450d58,In-active,
3b19ca5f-74d2-5cb6-a63f-c3f5b2cbc093,In-active,
1530ac17-bb10-58fa-8c66-0c2edc773d6a,In-active,
0fa99d90-f845-5211-a713-c3178832f98a,In-active,
3ff3fdc0-f0ea-5704-a6cc-38df96e040b0,In-active,
e219586a-4194-5547-a9fc-d0f19fd4ddf8,In-active,
204880b5-ef70-5bb5-a1ec-17129f092d6a,In-active,
b62fa011-9da6-5697-8d7a-460baa2f9c4c,In-active,
8d2caa4f-2c66-558d-ba22-98fce784538c,In-active,
53cae52e-1171-555e-ae45-868f3f3aaa95,In-active,"LP 31072018 Product bestaat niet langer, Roderick heeft vandaag met deze partij gezeten en zij gaven dit aan."
f2b016dc-4cc4-5c2f-a9fc-dfa944ee3a9b,In-active,Opnieuw contact leggen ivm blacklist !
5bef687b-6d95-5314-9cf9-590d9dfe6425,In-active,
e60948df-b690-5793-8484-a2df8ed08298,In-active,LT: 24-06-2019 Blacklist in overleg met Alexander Boes - Project Cleanup Social products
7c962751-dafd-59f5-ac2e-1d10b2118edb,In-active,"LP 20/12 Staat niet in voorstel van Stepstone, vraag uitgezet bij Koen!"
fe4ca1b9-290c-5f61-9915-1f974faeab4a,In-active,
80b901fc-4c68-5218-bece-61037ae48090,In-active,28/04/2019 Sarah Dumay: At the end of March we closed Econsultancy as a standard alone jobsboard
66b500cf-4bab-521e-a5a7-957e6c278f32,In-active,
c4dbc58c-85dd-5d06-ba34-f567438e23f0,In-active,LP 16/5/2018 Dit product zit niet langer in het nieuwe contract
c300d8ee-50b1-52ce-a287-e0c5b60a6a2c,In-active,LP 16052018 Zit niet langer in het portfolio van Careerbuilder in het nieuwe contract
9646aa33-51ba-5ad2-b525-2e0b18d6e01f,In-active,
4f17f30b-ddef-56d5-9068-392c541af413,In-active,LP Vooruitbetaling vereist!
5d973809-d540-5dab-bac8-cf5345edf132,In-active,"LP 08012019 Overgang naar nieuwe site Carriere.nu gaat niet goed, totdat alle problemen zijn opgelost zijn alle websites van Vakmedianet BL"
8a8103a0-7748-5f80-a034-134d381ebd8b,In-active,"LP 08012019 Overgang naar nieuwe site Carriere.nu gaat niet goed, totdat alle problemen zijn opgelost zijn alle websites van Vakmedianet BL"
23b60aa1-043c-58bd-a367-a5877c30fb0b,In-active,"LP 08012019 Overgang naar nieuwe site Carriere.nu gaat niet goed, totdat alle problemen zijn opgelost zijn alle websites van Vakmedianet BL"
1d1ed838-ed66-593e-9e2f-08325e57a30b,In-active,"LP 08012019 Overgang naar nieuwe site Carriere.nu gaat niet goed, totdat alle problemen zijn opgelost zijn alle websites van Vakmedianet BL"
86aa26ad-59cc-50e6-8a23-03be927ad164,In-active,"LP 08012019 Overgang naar nieuwe site Carriere.nu gaat niet goed, totdat alle problemen zijn opgelost zijn alle websites van Vakmedianet BL"
459da534-a86e-581b-b749-0a05163fc02c,In-active,"LP 08012019 Overgang naar nieuwe site Carriere.nu gaat niet goed, totdat alle problemen zijn opgelost zijn alle websites van Vakmedianet BL"
ceb97692-0f60-58ec-8e02-ee62099b0d9a,In-active,"LP 08012019 Overgang naar nieuwe site Carriere.nu gaat niet goed, totdat alle problemen zijn opgelost zijn alle websites van Vakmedianet BL"
3f2b210d-48d5-5554-8341-1fb646387c2b,In-active,"LP 08012019 Overgang naar nieuwe site Carriere.nu gaat niet goed, totdat alle problemen zijn opgelost zijn alle websites van Vakmedianet BL"
6e488c2a-c3dc-51ed-9e76-1c537dfc9183,In-active,"LP 08012019 Overgang naar nieuwe site Carriere.nu gaat niet goed, totdat alle problemen zijn opgelost zijn alle websites van Vakmedianet BL"
06ed66a1-8829-5476-a2a0-194b6dfea814,In-active,"LP 08012019 Overgang naar nieuwe site Carriere.nu gaat niet goed, totdat alle problemen zijn opgelost zijn alle websites van Vakmedianet BL"
1a75d57d-d587-5eac-8197-c33ac57f0223,In-active,"LP 08012019 Overgang naar nieuwe site Carriere.nu gaat niet goed, totdat alle problemen zijn opgelost zijn alle websites van Vakmedianet BL"
7a276d65-e062-5f15-82b5-b385e5b1eada,In-active,
a68309c5-a815-5c2c-95f4-d5904d6b6a3e,In-active,LT 31-05-2019: Exenzo biedt dit kanaal niet meer aan.
ff8beb9d-9dd0-5908-8a21-d23f4c176d39,In-active,
b9bf73f8-8ae3-56a6-b730-150efd2e5e8c,In-active,LT: 04-04-2019: De reden hiervoor is dat we vacature herschrijvingen allemaal onder hetzelfde DESQID willen samenvatten - gebruik ID 1325 of 1723
3343dff0-722b-5479-b2b6-3c9e5d32a25a,In-active,
89791096-303b-5cf4-9973-bf7650747dc9,In-active,"LP 3/5 Discussion about our stock and prices, hope to reactivate asap"
4ab0ede9-6d81-572e-8a76-b05538096be5,In-active,
7645593a-7182-5888-9fa0-d7408ac45c29,In-active,"08-08-2019 RvR: Supplier heeft administratie niet op orde, is niet commercieel ingesteld en contactpersonen verwijzen naar elkaar. Richard heeft de stekker eruit getrokken."
5d512dd1-52ef-58e9-a790-8d36588e8b5a,In-active,LP 25/4 site bestaat niet langer
d05b97aa-1abb-5748-b7e5-f35772061938,In-active,LP 25/4 site bestaat niet langer
527094c9-5b3c-5c53-b1f3-8d50c36b2de8,In-active,LP 25/4 site bestaat niet langer
26d05005-4ec2-58a3-a6d1-9795a594055d,In-active,LP 25/4 Niet langer af te nemen via Careerbuilder
e2891d34-4bb3-56a3-b6a3-c0462715305d,In-active,LP 16052018 Zit niet in het nieuwe contract van Careerguilder (Wel Careerbuilder US)
ca745dbd-d3f5-547f-a3dc-e3f8c00dd3c0,In-active,LP 25/4 niet langer actief via Careerbuilder
9f22f53e-431c-532d-bb53-d224499f3c9e,In-active,
c358bf7f-77fc-5715-8105-6e3d2b2131a4,In-active,LT: 24-06-2019 Blacklist in overleg met Alexander Boes - Project Cleanup Social products
99f3d91f-25f8-5b62-b2b7-3c44416a166a,In-active,LT 31-05-2019: Exenzo biedt dit kanaal niet meer aan.
e2533c5a-d54c-5d3c-9053-30ff59303699,In-active,LP 06022019 Op verzoek van Joren + Robert-Jan tijdelijk uit het portfolio
11127962-421c-5f66-bce6-f02e5950303a,In-active,Nog in gesprek met Laurence Laumond
0368e24c-00f4-5f8c-9062-6880e9fe4ec8,In-active,26-02-21 SF: They have not posted the job. Result: Blacklisted.
c4d7cf21-3135-545c-ac30-96e0b64951c5,In-active,"24-04-19. blacklistable, geen job domein, geen standaard prijzen. CVDB"
2d4330aa-e57f-576c-bf8d-a75c11702c9f,In-active,"niet inzetten, werkt niet!!!"
39d3dea0-025f-523c-9b8c-abc1e4098cb1,In-active,
a6df255d-9a93-5298-90b9-d1ed19dadbe7,In-active,"RVR 11022019: URL plaatsen blijkt lastig volgens Renata (OPS), om deze reden op Blacklist gezet."
74503920-b9ae-5326-9dab-cb05c636ec58,In-active,
86314921-39ac-5944-bd66-c07c312bbd09,In-active,"RVR 11022019: URL plaatsen blijkt lastig volgens Renata (OPS), om deze reden op Blacklist gezet. - LP 08022019 Hanteren 2 verschillende prijzen afhankelijk van niveau vacautre, houden de hoogste aan om zeker te zijn"
6836e658-fce2-5dfb-a4b4-2149c2018d07,In-active,
29caf461-7a31-5352-88cd-1a5c482885a7,In-active,
4917ecc1-a47e-5a17-9ad8-5680bc7fb60a,In-active,"LP 02082018 De site gaat per 31/8/2018 uit de lucht, plaatsen niet meer per 02082018 daar de vacature niet langer de volledige looptijd heeft."
3b9b0b79-7811-5a1a-ad6f-64e6a95b0791,In-active,LT 31-05-2019: Exenzo biedt dit kanaal niet meer aan.
ae2061bb-b17b-5bee-88b5-9ce970da5bd9,In-active,"LP 1/5 APAC credits zijn vervallen, te weinig gebruikt om nieuwe in te kopen"
e18f5944-7f63-5595-b0b5-f441053a411c,In-active,"LP 1/5 APAC credits zijn vervallen, te weinig gebruikt om nieuwe in te kopen"
206d61bd-7ce3-5d5a-b876-18711351bc16,In-active,
06fea0bd-224b-5674-bcb0-5a8d41d75023,In-active,"LP 1/5 APAC credits zijn vervallen, te weinig gebruikt om nieuwe in te kopen"
94a4894e-06c3-53d5-921f-9c65efa08171,In-active,
bafed12a-e2a9-5b53-8a34-b638375ca92f,In-active,"LP 1/5 APAC credits zijn vervallen, te weinig gebruikt om nieuwe in te kopen"
04ff1acd-348c-54b4-bd9e-9e81ad485b1e,In-active,"LP 1/5 APAC credits zijn vervallen, te weinig gebruikt om nieuwe in te kopen"
ff93c012-35e8-566f-b370-29e5d989cd6d,In-active,
6be9fca5-fd0c-5608-835b-2582fe53145a,In-active,"LP 1/5 APAC credits zijn vervallen, te weinig gebruikt om nieuwe in te kopen"
4ce3fd8f-e0ff-5f95-8b83-fcee1ada87b7,In-active,
dd2b800d-729e-5914-81cf-8222917d832f,In-active,"LP 13-11-2017 Op verzoek van Leduwina dit product disabled, krijgen moeilijk contact en kunnen niet onder naam en logo van klant posten. Tevens kan er niet via URL gesolliciteerd worden."
d0de5338-a964-5b26-9c71-008c4deade1b,In-active,"LP 13-11-2017 Op verzoek van Leduwina dit product disabled, krijgen moeilijk contact en kunnen niet onder naam en logo van klant posten. Tevens kan er niet via URL gesolliciteerd worden."
a89ea213-8d6e-5b4c-8aee-a228e4c59655,In-active,
20097163-2d1e-593c-b4c0-fcb769127474,In-active,LT 28-03-2019 Voorraad is op - nieuw product ingekocht Energy Jobline Priority Job Posting
ac3f9879-df5b-5d3b-b626-4e1f68f38daf,In-active,
a51d3fa3-d1f6-5920-9565-74bfb97b2a7f,In-active,
d64efa48-31c5-5aa8-bf69-0b954ccd58b9,In-active,
cd0d1d0e-690a-5a0f-a82c-dec17c1e905e,In-active,
3da93910-a7ac-529e-a5d3-7c69d697d168,In-active,
653bc13d-260c-54ad-970d-769ced1c8470,In-active,
305d2f32-a449-5c29-acbf-4985a93db0af,In-active,
